Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2022/2023;Gemeente;Heiloo;WO;Recht;45.00
2022/2023;Gemeente;Heiloo;WO;Sectoroverstijgend;14.00
2022/2023;Gemeente;Heiloo;WO;Taal en cultuur;33.00
2022/2023;Gemeente;Heiloo;WO;Techniek;22.00
2022/2023;Gemeente;Heiloo;WO;Totaal energietransitie;71.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Totaal;1207.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Economie;310.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Gedrag en maatschappij;185.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Gezondheidszorg;141.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Landbouw en natuurlijke omgeving;87.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Natuur;35.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Onderwijs;143.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Recht;34.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Sectoroverstijgend;2.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Taal en cultuur;41.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Techniek;229.00
2022/2023;Gemeente;Hollands Kroon;Totaal;Totaal energietransitie;264.00
2022/2023;Gemeente;Hollands Kroon;HBO;Totaal;973.00
2022/2023;Gemeente;Hollands Kroon;HBO;Economie;282.00
2022/2023;Gemeente;Hollands Kroon;HBO;Gedrag en maatschappij;129.00
2022/2023;Gemeente;Hollands Kroon;HBO;Gezondheidszorg;113.00
2022/2023;Gemeente;Hollands Kroon;HBO;Landbouw en natuurlijke omgeving;80.00
2022/2023;Gemeente;Hollands Kroon;HBO;Onderwijs;141.00
2022/2023;Gemeente;Hollands Kroon;HBO;Taal en cultuur;11.00
2022/2023;Gemeente;Hollands Kroon;HBO;Techniek;217.00
2022/2023;Gemeente;Hollands Kroon;HBO;Totaal energietransitie;217.00
2022/2023;Gemeente;Hollands Kroon;WO;Totaal;234.00
2022/2023;Gemeente;Hollands Kroon;WO;Economie;28.00
2022/2023;Gemeente;Hollands Kroon;WO;Gedrag en maatschappij;56.00
2022/2023;Gemeente;Hollands Kroon;WO;Gezondheidszorg;28.00
2022/2023;Gemeente;Hollands Kroon;WO;Landbouw en natuurlijke omgeving;7.00
2022/2023;Gemeente;Hollands Kroon;WO;Natuur;35.00
2022/2023;Gemeente;Hollands Kroon;WO;Onderwijs;2.00
2022/2023;Gemeente;Hollands Kroon;WO;Recht;34.00
2022/2023;Gemeente;Hollands Kroon;WO;Sectoroverstijgend;2.00
2022/2023;Gemeente;Hollands Kroon;WO;Taal en cultuur;30.00
2022/2023;Gemeente;Hollands Kroon;WO;Techniek;12.00
2022/2023;Gemeente;Hollands Kroon;WO;Totaal energietransitie;47.00
2022/2023;Gemeente;Hoorn;Totaal;Totaal;2220.00
2022/2023;Gemeente;Hoorn;Totaal;Economie;660.00
2022/2023;Gemeente;Hoorn;Totaal;Gedrag en maatschappij;320.00
2022/2023;Gemeente;Hoorn;Totaal;Gezondheidszorg;287.00
2022/2023;Gemeente;Hoorn;Totaal;Landbouw en natuurlijke omgeving;28.00
2022/2023;Gemeente;Hoorn;Totaal;Natuur;104.00
2022/2023;Gemeente;Hoorn;Totaal;Onderwijs;262.00
2022/2023;Gemeente;Hoorn;Totaal;Recht;93.00
2022/2023;Gemeente;Hoorn;Totaal;Sectoroverstijgend;15.00
2022/2023;Gemeente;Hoorn;Totaal;Taal en cultuur;100.00
2022/2023;Gemeente;Hoorn;Totaal;Techniek;351.00
2022/2023;Gemeente;Hoorn;Totaal;Totaal energietransitie;455.00
2022/2023;Gemeente;Hoorn;HBO;Totaal;1591.00
2022/2023;Gemeente;Hoorn;HBO;Economie;567.00
2022/2023;Gemeente;Hoorn;HBO;Gedrag en maatschappij;185.00
2022/2023;Gemeente;Hoorn;HBO;Gezondheidszorg;196.00
2022/2023;Gemeente;Hoorn;HBO;Landbouw en natuurlijke omgeving;25.00
2022/2023;Gemeente;Hoorn;HBO;Onderwijs;257.00
2022/2023;Gemeente;Hoorn;HBO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Hoorn;HBO;Taal en cultuur;27.00
2022/2023;Gemeente;Hoorn;HBO;Techniek;331.00
2022/2023;Gemeente;Hoorn;HBO;Totaal energietransitie;331.00
2022/2023;Gemeente;Hoorn;WO;Totaal;629.00
2022/2023;Gemeente;Hoorn;WO;Economie;93.00
2022/2023;Gemeente;Hoorn;WO;Gedrag en maatschappij;135.00
2022/2023;Gemeente;Hoorn;WO;Gezondheidszorg;91.00
2022/2023;Gemeente;Hoorn;WO;Landbouw en natuurlijke omgeving;3.00
2022/2023;Gemeente;Hoorn;WO;Natuur;104.00
2022/2023;Gemeente;Hoorn;WO;Onderwijs;5.00
2022/2023;Gemeente;Hoorn;WO;Recht;93.00
2022/2023;Gemeente;Hoorn;WO;Sectoroverstijgend;12.00
2022/2023;Gemeente;Hoorn;WO;Taal en cultuur;73.00
2022/2023;Gemeente;Hoorn;WO;Techniek;20.00
2022/2023;Gemeente;Hoorn;WO;Totaal energietransitie;124.00
2022/2023;Gemeente;Koggenland;Totaal;Totaal;734.00
2022/2023;Gemeente;Koggenland;Totaal;Economie;204.00
2022/2023;Gemeente;Koggenland;Totaal;Gedrag en maatschappij;98.00
2022/2023;Gemeente;Koggenland;Totaal;Gezondheidszorg;101.00
2022/2023;Gemeente;Koggenland;Totaal;Landbouw en natuurlijke omgeving;30.00
2022/2023;Gemeente;Koggenland;Totaal;Natuur;38.00
2022/2023;Gemeente;Koggenland;Totaal;Onderwijs;75.00
2022/2023;Gemeente;Koggenland;Totaal;Recht;13.00
2022/2023;Gemeente;Koggenland;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Koggenland;Totaal;Taal en cultuur;21.00
2022/2023;Gemeente;Koggenland;Totaal;Techniek;151.00
2022/2023;Gemeente;Koggenland;Totaal;Totaal energietransitie;189.00
2022/2023;Gemeente;Koggenland;HBO;Totaal;578.00
2022/2023;Gemeente;Koggenland;HBO;Economie;185.00
2022/2023;Gemeente;Koggenland;HBO;Gedrag en maatschappij;69.00
2022/2023;Gemeente;Koggenland;HBO;Gezondheidszorg;79.00
2022/2023;Gemeente;Koggenland;HBO;Landbouw en natuurlijke omgeving;25.00
2022/2023;Gemeente;Koggenland;HBO;Onderwijs;74.00
2022/2023;Gemeente;Koggenland;HBO;Sectoroverstijgend;1.00
2022/2023;Gemeente;Koggenland;HBO;Taal en cultuur;6.00
2022/2023;Gemeente;Koggenland;HBO;Techniek;139.00
2022/2023;Gemeente;Koggenland;HBO;Totaal energietransitie;139.00
2022/2023;Gemeente;Koggenland;WO;Totaal;156.00
2022/2023;Gemeente;Koggenland;WO;Economie;19.00
2022/2023;Gemeente;Koggenland;WO;Gedrag en maatschappij;29.00
2022/2023;Gemeente;Koggenland;WO;Gezondheidszorg;22.00
2022/2023;Gemeente;Koggenland;WO;Landbouw en natuurlijke omgeving;5.00
2022/2023;Gemeente;Koggenland;WO;Natuur;38.00
2022/2023;Gemeente;Koggenland;WO;Onderwijs;1.00
2022/2023;Gemeente;Koggenland;WO;Recht;13.00
2022/2023;Gemeente;Koggenland;WO;Sectoroverstijgend;2.00
2022/2023;Gemeente;Koggenland;WO;Taal en cultuur;15.00
2022/2023;Gemeente;Koggenland;WO;Techniek;12.00
2022/2023;Gemeente;Koggenland;WO;Totaal energietransitie;50.00
2022/2023;Gemeente;Medemblik;Totaal;Totaal;1201.00
2022/2023;Gemeente;Medemblik;Totaal;Economie;346.00
2022/2023;Gemeente;Medemblik;Totaal;Gedrag en maatschappij;165.00
2022/2023;Gemeente;Medemblik;Totaal;Gezondheidszorg;138.00
2022/2023;Gemeente;Medemblik;Totaal;Landbouw en natuurlijke omgeving;54.00
2022/2023;Gemeente;Medemblik;Totaal;Natuur;43.00
2022/2023;Gemeente;Medemblik;Totaal;Onderwijs;162.00
2022/2023;Gemeente;Medemblik;Totaal;Recht;36.00
2022/2023;Gemeente;Medemblik;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Medemblik;Totaal;Taal en cultuur;35.00
2022/2023;Gemeente;Medemblik;Totaal;Techniek;219.00
2022/2023;Gemeente;Medemblik;Totaal;Totaal energietransitie;262.00
2022/2023;Gemeente;Medemblik;HBO;Totaal;913.00
2022/2023;Gemeente;Medemblik;HBO;Economie;301.00
2022/2023;Gemeente;Medemblik;HBO;Gedrag en maatschappij;95.00
2022/2023;Gemeente;Medemblik;HBO;Gezondheidszorg;97.00
2022/2023;Gemeente;Medemblik;HBO;Landbouw en natuurlijke omgeving;46.00
2022/2023;Gemeente;Medemblik;HBO;Onderwijs;161.00
2022/2023;Gemeente;Medemblik;HBO;Taal en cultuur;7.00
2022/2023;Gemeente;Medemblik;HBO;Techniek;206.00
2022/2023;Gemeente;Medemblik;HBO;Totaal energietransitie;206.00
2022/2023;Gemeente;Medemblik;WO;Totaal;288.00
2022/2023;Gemeente;Medemblik;WO;Economie;45.00
2022/2023;Gemeente;Medemblik;WO;Gedrag en maatschappij;70.00
2022/2023;Gemeente;Medemblik;WO;Gezondheidszorg;41.00
2022/2023;Gemeente;Medemblik;WO;Landbouw en natuurlijke omgeving;8.00
2022/2023;Gemeente;Medemblik;WO;Natuur;43.00
2022/2023;Gemeente;Medemblik;WO;Onderwijs;1.00
2022/2023;Gemeente;Medemblik;WO;Recht;36.00
2022/2023;Gemeente;Medemblik;WO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Medemblik;WO;Taal en cultuur;28.00
2022/2023;Gemeente;Medemblik;WO;Techniek;13.00
2022/2023;Gemeente;Medemblik;WO;Totaal energietransitie;56.00
2022/2023;Gemeente;Opmeer;Totaal;Totaal;334.00
2022/2023;Gemeente;Opmeer;Totaal;Economie;93.00
2022/2023;Gemeente;Opmeer;Totaal;Gedrag en maatschappij;47.00
2022/2023;Gemeente;Opmeer;Totaal;Gezondheidszorg;47.00
2022/2023;Gemeente;Opmeer;Totaal;Landbouw en natuurlijke omgeving;20.00
2022/2023;Gemeente;Opmeer;Totaal;Natuur;10.00
2022/2023;Gemeente;Opmeer;Totaal;Onderwijs;24.00
2022/2023;Gemeente;Opmeer;Totaal;Recht;13.00
2022/2023;Gemeente;Opmeer;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Opmeer;Totaal;Taal en cultuur;8.00
2022/2023;Gemeente;Opmeer;Totaal;Techniek;69.00
2022/2023;Gemeente;Opmeer;Totaal;Totaal energietransitie;79.00
2022/2023;Gemeente;Opmeer;HBO;Totaal;264.00
2022/2023;Gemeente;Opmeer;HBO;Economie;86.00
2022/2023;Gemeente;Opmeer;HBO;Gedrag en maatschappij;33.00
2022/2023;Gemeente;Opmeer;HBO;Gezondheidszorg;37.00
2022/2023;Gemeente;Opmeer;HBO;Landbouw en natuurlijke omgeving;17.00
2022/2023;Gemeente;Opmeer;HBO;Onderwijs;24.00
2022/2023;Gemeente;Opmeer;HBO;Sectoroverstijgend;2.00
2022/2023;Gemeente;Opmeer;HBO;Taal en cultuur;2.00
2022/2023;Gemeente;Opmeer;HBO;Techniek;63.00
2022/2023;Gemeente;Opmeer;HBO;Totaal energietransitie;63.00
2022/2023;Gemeente;Opmeer;WO;Totaal;70.00
2022/2023;Gemeente;Opmeer;WO;Economie;7.00
2022/2023;Gemeente;Opmeer;WO;Gedrag en maatschappij;14.00
2022/2023;Gemeente;Opmeer;WO;Gezondheidszorg;10.00
2022/2023;Gemeente;Opmeer;WO;Landbouw en natuurlijke omgeving;3.00
2022/2023;Gemeente;Opmeer;WO;Natuur;10.00
2022/2023;Gemeente;Opmeer;WO;Recht;13.00
2022/2023;Gemeente;Opmeer;WO;Sectoroverstijgend;1.00
2022/2023;Gemeente;Opmeer;WO;Taal en cultuur;6.00
2022/2023;Gemeente;Opmeer;WO;Techniek;6.00
2022/2023;Gemeente;Opmeer;WO;Totaal energietransitie;16.00
2022/2023;Gemeente;Schagen;Totaal;Totaal;1272.00
2022/2023;Gemeente;Schagen;Totaal;Economie;337.00
2022/2023;Gemeente;Schagen;Totaal;Gedrag en maatschappij;176.00
2022/2023;Gemeente;Schagen;Totaal;Gezondheidszorg;163.00
2022/2023;Gemeente;Schagen;Totaal;Landbouw en natuurlijke omgeving;54.00
2022/2023;Gemeente;Schagen;Totaal;Natuur;45.00
2022/2023;Gemeente;Schagen;Totaal;Onderwijs;164.00
2022/2023;Gemeente;Schagen;Totaal;Recht;39.00
2022/2023;Gemeente;Schagen;Totaal;Sectoroverstijgend;6.00
2022/2023;Gemeente;Schagen;Totaal;Taal en cultuur;50.00
2022/2023;Gemeente;Schagen;Totaal;Techniek;238.00
2022/2023;Gemeente;Schagen;Totaal;Totaal energietransitie;283.00
2022/2023;Gemeente;Schagen;HBO;Totaal;970.00
2022/2023;Gemeente;Schagen;HBO;Economie;293.00
2022/2023;Gemeente;Schagen;HBO;Gedrag en maatschappij;113.00
2022/2023;Gemeente;Schagen;HBO;Gezondheidszorg;126.00
2022/2023;Gemeente;Schagen;HBO;Landbouw en natuurlijke omgeving;43.00
2022/2023;Gemeente;Schagen;HBO;Onderwijs;160.00
2022/2023;Gemeente;Schagen;HBO;Sectoroverstijgend;1.00
2022/2023;Gemeente;Schagen;HBO;Taal en cultuur;9.00
2022/2023;Gemeente;Schagen;HBO;Techniek;225.00
2022/2023;Gemeente;Schagen;HBO;Totaal energietransitie;225.00
2022/2023;Gemeente;Schagen;WO;Totaal;302.00
2022/2023;Gemeente;Schagen;WO;Economie;44.00
2022/2023;Gemeente;Schagen;WO;Gedrag en maatschappij;63.00
2022/2023;Gemeente;Schagen;WO;Gezondheidszorg;37.00
2022/2023;Gemeente;Schagen;WO;Landbouw en natuurlijke omgeving;11.00
2022/2023;Gemeente;Schagen;WO;Natuur;45.00
2022/2023;Gemeente;Schagen;WO;Onderwijs;4.00
2022/2023;Gemeente;Schagen;WO;Recht;39.00
2022/2023;Gemeente;Schagen;WO;Sectoroverstijgend;5.00
2022/2023;Gemeente;Schagen;WO;Taal en cultuur;41.00
2022/2023;Gemeente;Schagen;WO;Techniek;13.00
2022/2023;Gemeente;Schagen;WO;Totaal energietransitie;58.00
2022/2023;Gemeente;Stede Broec;Totaal;Totaal;623.00
2022/2023;Gemeente;Stede Broec;Totaal;Economie;171.00
2022/2023;Gemeente;Stede Broec;Totaal;Gedrag en maatschappij;95.00
2022/2023;Gemeente;Stede Broec;Totaal;Gezondheidszorg;84.00
2022/2023;Gemeente;Stede Broec;Totaal;Landbouw en natuurlijke omgeving;19.00
2022/2023;Gemeente;Stede Broec;Totaal;Natuur;32.00
2022/2023;Gemeente;Stede Broec;Totaal;Onderwijs;88.00
2022/2023;Gemeente;Stede Broec;Totaal;Recht;20.00
2022/2023;Gemeente;Stede Broec;Totaal;Sectoroverstijgend;3.00
2022/2023;Gemeente;Stede Broec;Totaal;Taal en cultuur;23.00
2022/2023;Gemeente;Stede Broec;Totaal;Techniek;88.00
2022/2023;Gemeente;Stede Broec;Totaal;Totaal energietransitie;120.00
2022/2023;Gemeente;Stede Broec;HBO;Totaal;482.00
2022/2023;Gemeente;Stede Broec;HBO;Economie;162.00
2022/2023;Gemeente;Stede Broec;HBO;Gedrag en maatschappij;64.00
2022/2023;Gemeente;Stede Broec;HBO;Gezondheidszorg;63.00
2022/2023;Gemeente;Stede Broec;HBO;Landbouw en natuurlijke omgeving;15.00
2022/2023;Gemeente;Stede Broec;HBO;Onderwijs;87.00
2022/2023;Gemeente;Stede Broec;HBO;Taal en cultuur;5.00
2022/2023;Gemeente;Stede Broec;HBO;Techniek;86.00
2022/2023;Gemeente;Stede Broec;HBO;Totaal energietransitie;86.00
2022/2023;Gemeente;Stede Broec;WO;Totaal;141.00
2022/2023;Gemeente;Stede Broec;WO;Economie;9.00
2022/2023;Gemeente;Stede Broec;WO;Gedrag en maatschappij;31.00
2022/2023;Gemeente;Stede Broec;WO;Gezondheidszorg;21.00
2022/2023;Gemeente;Stede Broec;WO;Landbouw en natuurlijke omgeving;4.00
2022/2023;Gemeente;Stede Broec;WO;Natuur;32.00
2022/2023;Gemeente;Stede Broec;WO;Onderwijs;1.00
2022/2023;Gemeente;Stede Broec;WO;Recht;20.00
2022/2023;Gemeente;Stede Broec;WO;Sectoroverstijgend;3.00
2022/2023;Gemeente;Stede Broec;WO;Taal en cultuur;18.00
2022/2023;Gemeente;Stede Broec;WO;Techniek;2.00
2022/2023;Gemeente;Stede Broec;WO;Totaal energietransitie;34.00
2022/2023;Gemeente;Texel;Totaal;Totaal;259.00
2022/2023;Gemeente;Texel;Totaal;Economie;78.00
2022/2023;Gemeente;Texel;Totaal;Gedrag en maatschappij;34.00
2022/2023;Gemeente;Texel;Totaal;Gezondheidszorg;33.00
2022/2023;Gemeente;Texel;Totaal;Landbouw en natuurlijke omgeving;15.00
2022/2023;Gemeente;Texel;Totaal;Natuur;17.00
2022/2023;Gemeente;Texel;Totaal;Onderwijs;28.00
2022/2023;Gemeente;Texel;Totaal;Recht;8.00
2022/2023;Gemeente;Texel;Totaal;Sectoroverstijgend;5.00
2022/2023;Gemeente;Texel;Totaal;Taal en cultuur;17.00
2022/2023;Gemeente;Texel;Totaal;Techniek;24.00
2022/2023;Gemeente;Texel;Totaal;Totaal energietransitie;41.00
2022/2023;Gemeente;Texel;HBO;Totaal;178.00
2022/2023;Gemeente;Texel;HBO;Economie;71.00
2022/2023;Gemeente;Texel;HBO;Gedrag en maatschappij;20.00
2022/2023;Gemeente;Texel;HBO;Gezondheidszorg;25.00
2022/2023;Gemeente;Texel;HBO;Landbouw en natuurlijke omgeving;9.00
2022/2023;Gemeente;Texel;HBO;Onderwijs;28.00
2022/2023;Gemeente;Texel;HBO;Taal en cultuur;6.00
2022/2023;Gemeente;Texel;HBO;Techniek;19.00
2022/2023;Gemeente;Texel;HBO;Totaal energietransitie;19.00
2022/2023;Gemeente;Texel;WO;Totaal;81.00
2022/2023;Gemeente;Texel;WO;Economie;7.00
2022/2023;Gemeente;Texel;WO;Gedrag en maatschappij;14.00
2022/2023;Gemeente;Texel;WO;Gezondheidszorg;8.00
2022/2023;Gemeente;Texel;WO;Landbouw en natuurlijke omgeving;6.00
2022/2023;Gemeente;Texel;WO;Natuur;17.00
2022/2023;Gemeente;Texel;WO;Recht;8.00
2022/2023;Gemeente;Texel;WO;Sectoroverstijgend;5.00
2022/2023;Gemeente;Texel;WO;Taal en cultuur;11.00
2022/2023;Gemeente;Texel;WO;Techniek;5.00
2022/2023;Gemeente;Texel;WO;Totaal energietransitie;22.00
