Jaar,Niveau regio,Woonregio,Werkregio,Banen
2018,Corop,Alkmaar en omgeving (C),Achterhoek (C),0.0
2018,Corop,Alkmaar en omgeving (C),Agglomeratie 's-Gravenhage (C),100.0
2018,Corop,Alkmaar en omgeving (C),Agglomeratie Haarlem (C),700.0
2018,Corop,Alkmaar en omgeving (C),Agglomeratie Leiden en Bollenstreek (C),0.0
2018,Corop,Alkmaar en omgeving (C),Alkmaar en omgeving (C),18000.0
2018,Corop,Alkmaar en omgeving (C),Arnhem/Nijmegen (C),0.0
2018,Corop,Alkmaar en omgeving (C),Delft en Westland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Delfzijl en omgeving (C),0.0
2018,Corop,Alkmaar en omgeving (C),Flevoland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),5000.0
2018,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),100.0
2018,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),100.0
2018,Corop,Alkmaar en omgeving (C),IJmond (C),2000.0
2018,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),3400.0
2018,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2018,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),100.0
2018,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2018,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2018,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),0.0
2018,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),0.0
2018,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2018,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2018,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Twente (C),0.0
2018,Corop,Alkmaar en omgeving (C),Utrecht (C),300.0
2018,Corop,Alkmaar en omgeving (C),Veluwe (C),0.0
2018,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zaanstreek (C),900.0
2018,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),100.0
2018,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2018,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2018,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
2018,Corop,Kop van Noord-Holland (C),Agglomeratie 's-Gravenhage (C),200.0
2018,Corop,Kop van Noord-Holland (C),Agglomeratie Haarlem (C),500.0
2018,Corop,Kop van Noord-Holland (C),Agglomeratie Leiden en Bollenstreek (C),0.0
2018,Corop,Kop van Noord-Holland (C),Alkmaar en omgeving (C),5800.0
2018,Corop,Kop van Noord-Holland (C),Arnhem/Nijmegen (C),0.0
2018,Corop,Kop van Noord-Holland (C),Delft en Westland (C),400.0
2018,Corop,Kop van Noord-Holland (C),Delfzijl en omgeving (C),0.0
2018,Corop,Kop van Noord-Holland (C),Flevoland (C),200.0
2018,Corop,Kop van Noord-Holland (C),Groot-Amsterdam (C),5900.0
2018,Corop,Kop van Noord-Holland (C),Groot-Rijnmond (C),200.0
2018,Corop,Kop van Noord-Holland (C),Het Gooi en Vechtstreek (C),400.0
2018,Corop,Kop van Noord-Holland (C),IJmond (C),800.0
2018,Corop,Kop van Noord-Holland (C),Kop van Noord-Holland (C),34300.0
2018,Corop,Kop van Noord-Holland (C),Midden-Limburg (C),0.0
2018,Corop,Kop van Noord-Holland (C),Midden-Noord-Brabant (C),200.0
2018,Corop,Kop van Noord-Holland (C),Noord-Drenthe (C),0.0
2018,Corop,Kop van Noord-Holland (C),Noord-Friesland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Noord-Limburg (C),0.0
2018,Corop,Kop van Noord-Holland (C),Noord-Overijssel (C),0.0
2018,Corop,Kop van Noord-Holland (C),Noordoost-Noord-Brabant (C),0.0
2018,Corop,Kop van Noord-Holland (C),Oost-Groningen (C),0.0
2018,Corop,Kop van Noord-Holland (C),Oost-Zuid-Holland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Overig Groningen (C),0.0
2018,Corop,Kop van Noord-Holland (C),Overig Zeeland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Twente (C),0.0
2018,Corop,Kop van Noord-Holland (C),Utrecht (C),300.0
2018,Corop,Kop van Noord-Holland (C),Veluwe (C),0.0
2018,Corop,Kop van Noord-Holland (C),West-Noord-Brabant (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zaanstreek (C),700.0
2018,Corop,Kop van Noord-Holland (C),Zeeuwsch-Vlaanderen (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuid-Limburg (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidoost-Drenthe (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidoost-Friesland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidoost-Noord-Brabant (C),100.0
2018,Corop,Kop van Noord-Holland (C),Zuidoost-Zuid-Holland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidwest-Drenthe (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidwest-Friesland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidwest-Gelderland (C),0.0
2018,Corop,Kop van Noord-Holland (C),Zuidwest-Overijssel (C),0.0
2019,Corop,Alkmaar en omgeving (C),Achterhoek (C),0.0
2019,Corop,Alkmaar en omgeving (C),Agglomeratie 's-Gravenhage (C),0.0
2019,Corop,Alkmaar en omgeving (C),Agglomeratie Haarlem (C),1000.0
2019,Corop,Alkmaar en omgeving (C),Agglomeratie Leiden en Bollenstreek (C),0.0
2019,Corop,Alkmaar en omgeving (C),Alkmaar en omgeving (C),18100.0
2019,Corop,Alkmaar en omgeving (C),Arnhem/Nijmegen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Delft en Westland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Delfzijl en omgeving (C),0.0
2019,Corop,Alkmaar en omgeving (C),Flevoland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),5800.0
2019,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),0.0
2019,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),100.0
2019,Corop,Alkmaar en omgeving (C),IJmond (C),1700.0
2019,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),3000.0
2019,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2019,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),200.0
2019,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),0.0
2019,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),0.0
2019,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Twente (C),0.0
2019,Corop,Alkmaar en omgeving (C),Utrecht (C),400.0
2019,Corop,Alkmaar en omgeving (C),Veluwe (C),0.0
2019,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zaanstreek (C),800.0
2019,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),200.0
2019,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2019,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2019,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
2019,Corop,Kop van Noord-Holland (C),Agglomeratie 's-Gravenhage (C),200.0
2019,Corop,Kop van Noord-Holland (C),Agglomeratie Haarlem (C),500.0
2019,Corop,Kop van Noord-Holland (C),Agglomeratie Leiden en Bollenstreek (C),0.0
2019,Corop,Kop van Noord-Holland (C),Alkmaar en omgeving (C),5100.0
2019,Corop,Kop van Noord-Holland (C),Arnhem/Nijmegen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Delft en Westland (C),500.0
2019,Corop,Kop van Noord-Holland (C),Delfzijl en omgeving (C),0.0
2019,Corop,Kop van Noord-Holland (C),Flevoland (C),200.0
2019,Corop,Kop van Noord-Holland (C),Groot-Amsterdam (C),6400.0
2019,Corop,Kop van Noord-Holland (C),Groot-Rijnmond (C),200.0
2019,Corop,Kop van Noord-Holland (C),Het Gooi en Vechtstreek (C),300.0
2019,Corop,Kop van Noord-Holland (C),IJmond (C),800.0
2019,Corop,Kop van Noord-Holland (C),Kop van Noord-Holland (C),34800.0
2019,Corop,Kop van Noord-Holland (C),Midden-Limburg (C),0.0
2019,Corop,Kop van Noord-Holland (C),Midden-Noord-Brabant (C),200.0
2019,Corop,Kop van Noord-Holland (C),Noord-Drenthe (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Friesland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Limburg (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noord-Overijssel (C),0.0
2019,Corop,Kop van Noord-Holland (C),Noordoost-Noord-Brabant (C),0.0
2019,Corop,Kop van Noord-Holland (C),Oost-Groningen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Oost-Zuid-Holland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Overig Groningen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Overig Zeeland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Twente (C),0.0
2019,Corop,Kop van Noord-Holland (C),Utrecht (C),500.0
2019,Corop,Kop van Noord-Holland (C),Veluwe (C),100.0
2019,Corop,Kop van Noord-Holland (C),West-Noord-Brabant (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zaanstreek (C),800.0
2019,Corop,Kop van Noord-Holland (C),Zeeuwsch-Vlaanderen (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuid-Limburg (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Drenthe (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Friesland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Noord-Brabant (C),100.0
2019,Corop,Kop van Noord-Holland (C),Zuidoost-Zuid-Holland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Drenthe (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Friesland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Gelderland (C),0.0
2019,Corop,Kop van Noord-Holland (C),Zuidwest-Overijssel (C),0.0
2020,Corop,Alkmaar en omgeving (C),Achterhoek (C),0.0
2020,Corop,Alkmaar en omgeving (C),Agglomeratie 's-Gravenhage (C),0.0
2020,Corop,Alkmaar en omgeving (C),Agglomeratie Haarlem (C),1600.0
2020,Corop,Alkmaar en omgeving (C),Agglomeratie Leiden en Bollenstreek (C),100.0
2020,Corop,Alkmaar en omgeving (C),Alkmaar en omgeving (C),17200.0
2020,Corop,Alkmaar en omgeving (C),Arnhem/Nijmegen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Delft en Westland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Delfzijl en omgeving (C),0.0
2020,Corop,Alkmaar en omgeving (C),Flevoland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Groot-Amsterdam (C),5100.0
2020,Corop,Alkmaar en omgeving (C),Groot-Rijnmond (C),100.0
2020,Corop,Alkmaar en omgeving (C),Het Gooi en Vechtstreek (C),200.0
2020,Corop,Alkmaar en omgeving (C),IJmond (C),2000.0
2020,Corop,Alkmaar en omgeving (C),Kop van Noord-Holland (C),2800.0
2020,Corop,Alkmaar en omgeving (C),Midden-Limburg (C),0.0
2020,Corop,Alkmaar en omgeving (C),Midden-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Drenthe (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Friesland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Limburg (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noord-Overijssel (C),0.0
2020,Corop,Alkmaar en omgeving (C),Noordoost-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Oost-Groningen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Oost-Zuid-Holland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Overig Groningen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Overig Zeeland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Twente (C),0.0
2020,Corop,Alkmaar en omgeving (C),Utrecht (C),300.0
2020,Corop,Alkmaar en omgeving (C),Veluwe (C),0.0
2020,Corop,Alkmaar en omgeving (C),West-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zaanstreek (C),1200.0
2020,Corop,Alkmaar en omgeving (C),Zeeuwsch-Vlaanderen (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuid-Limburg (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Drenthe (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Friesland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Noord-Brabant (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidoost-Zuid-Holland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Drenthe (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Friesland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Gelderland (C),0.0
2020,Corop,Alkmaar en omgeving (C),Zuidwest-Overijssel (C),0.0
2020,Corop,Kop van Noord-Holland (C),Achterhoek (C),0.0
