"Leeftijd en woonsituatie","2021 (%)","2018 (%)","2015 (%)","2012 (%)"
"18 tot 25 jaar","","","",""
"Huurwoning van corporatie","52,3","50,4","53,9","49,8"
"Huurwoning van private verhuurder","61,8","60,6","57,8","58,2"
"Koopwoning","32,4","35,1","33,9","38,5"
"Totaal","53,3","52,0","50,9","49,3"
"25 tot 30 jaar","","","",""
"Huurwoning van corporatie","36,2","38,1","40,6","38,1"
"Huurwoning van private verhuurder","41,2","41,8","42,3","39,8"
"Koopwoning","26,1","30,0","31,4","34,4"
"Totaal","34,3","36,0","37,1","36,7"